reg	node1	node2	MI	MIC	Theta	Theta_T	Theta_Tn	Sigma	Sigma_null	T	T_null	Tn	Tn_null	P	P_T	P_Tn
MEIS1	HOXB5	KLF1	0.05244906603346289	0.0714864509740242	1.417913410984988	1.35368282872417	1.8208561991275956	0.09203602814163664	0.04833174269586672	0.2302877562210166	0.12272418197976108	0.2302877562210166	0.09375513799177604	0.0876	0.0924	0.0532
SRY	IRF6	NKX3-1	0.0	0.017094423143322858	0.5875829575003646	0.5714617189140091	0.21943592061753198	0.02966847112652267	0.04783590328932828	0.07597343234399911	0.12169886810705142	0.07597343234399911	0.09253277448802728	0.6944	0.6862	0.5206
HOXB2	HOXA3	HOXA9	1.1386549814171794	0.6819326267834643	3.8022165759980933	4.069761970641216	1.459064046407329	0.34174513066355894	0.1449494641913215	0.9957981150879387	0.40099403557459407	0.49227068935463136	0.27996132554707676	0.0002	0.0002	0.0824
HEY2	NR2F2	WT1	0.08327545439360406	0.0	1.562590265408931	1.5388867391921401	1.2445177848357107	0.0	0.048369685298093205	0.0	0.12286552517405935	0.0	0.09553851827264098	0.9606	0.9606	0.9032
HOXC8	HOXA2	HOXB7	0.23150942965535437	0.2769347844880142	0.4399349772897792	0.43277696637646407	1.0304286477496627	0.14360867939631547	0.12408753527185909	0.3944783919783914	0.34101274167668816	0.36778660810007535	0.23826429630779666	0.3132	0.3164	0.1552
HOXB3	EBF1	MEIS1	0.012377452322996696	0.02243799215405611	0.08726340131348272	0.10856296462701862	0.23162255026734302	0.044875984308112224	0.04757256258246698	0.11218996077028054	0.1208744607775575	0.11218996077028054	0.09466659650831494	0.4876	0.4912	0.3504
HOXA9	HOXA1	MEIS1	0.24663424037890413	0.06391299937854296	0.8366749189296017	0.390753675267081	0.8182086562472992	0.07833047246112468	0.05199431558611978	0.16435296933034804	0.13247131968036518	0.16435296933034804	0.1003524204091838	0.1894	0.313	0.1924
RBPJ	JUN	POU4F1	0.006899425322119956	0.07111493793552501	1.883017117193577	1.9096633091662918	1.3660230235091786	0.10694533293613169	0.04861049135506151	0.27659194642590057	0.12361435404639105	0.1993451018291168	0.09566067960481678	0.0474	0.0474	0.1008
RELA	EGR1	NFIA	0.03254442224430365	0.05518777152721235	0.45611830133141523	0.5234158941111334	0.15610875579326675	0.06251377140562552	0.04837069348290593	0.16521477708457066	0.12312081789483384	0.08277148572450788	0.09465966218292937	0.2952	0.2728	0.4972
HOXA3	BHLHE41	POU4F1	0.03789837896917447	0.0676295571597361	0.15576890753000872	0.22872849738690854	0.29614106996864603	0.0563320210382527	0.05133700249350907	0.14953786059832508	0.13055274082304993	0.12443411412401106	0.10112766727667963	0.3882	0.3588	0.3304
FOS	NR5A2	POU4F1	0.06983683206889335	0.027719826739531862	0.5493136534763075	0.5021156620258016	1.1017868186527442	0.04082039349491125	0.05906938985467373	0.10768819067619217	0.1512272619958108	0.02342325207353424	0.11516383600294752	0.6874	0.6612	0.8678
STAT5B	EBF1	KLF1	0.112022105634904	0.0019601386507146048	1.6372836082683973	1.6120347729726217	1.2652500424664348	0.00392027730142921	0.055522769703653274	0.009800693253573023	0.14221270451671317	0.009800693253573023	0.10960774325410859	0.9688	0.9688	0.912
RELA	GLIS3	POU2F2	0.14097813017828686	0.12349418657908444	1.2292496230117544	1.4577630160572643	1.1563546990579108	0.11413028642094117	0.07145469591021732	0.32103497196823305	0.18630639175262553	0.24246866123387179	0.13876073087294577	0.1106	0.082	0.1282
DLX6	HOXA9	PPARG	0.0	0.12105114854576793	3.5998331283569636	3.4153002028027757	1.5590770148406834	0.15883546366312284	0.047892156519093745	0.39274770368096457	0.1215011994344955	0.21250803904787507	0.09413505431720523	0.0028	0.0036	0.075
HOXA3	HEYL	HOXA9	0.07931192107942842	0.10849672877829986	0.30296582906783603	0.4399810998380791	0.028649323346840175	0.06781693488442335	0.057697050477764036	0.18617326817377355	0.14779318768632915	0.11032518063864849	0.1126944621632436	0.3446	0.292	0.4466
IRX5	HOXB8	ID4	0.15824731023803684	0.07060861803552547	1.1814817219368872	1.3300232312357143	0.4685124368563891	0.08967692007498192	0.05159163123188432	0.24264208761946637	0.131457757567351	0.06437277765549898	0.10182218730464755	0.1192	0.0956	0.6292
RELA	EGR2	NKX3-1	0.02108760326698711	0.059801582913950393	1.6443718597343078	1.6641615577449933	2.1160678970910074	0.0966829249175807	0.04691920728512885	0.24929428737874604	0.1192825174419735	0.24929428737874604	0.09268130340596176	0.0642	0.0636	0.0362
LMX1B	HOXA13	MEIS3	0.13510321727374563	0.04775523469043672	0.2081776670080121	0.2888500251528813	0.00875329220170912	0.06076877414661471	0.05404268692278631	0.16250606623344455	0.13824470334143435	0.10778418701069814	0.10707745831658977	0.3698	0.3424	0.4288
UNCX	FOXO6	MEIS1	0.006864126762817779	0.03821730680798359	0.9546215371078516	0.9029439001956518	1.3284077815757613	0.07643461361596718	0.0472000601135585	0.19108653403991793	0.11978957101312716	0.19108653403991793	0.09227981411445244	0.1682	0.1748	0.105
E2F4	CEBPA	PBX1	0.015852306003287353	0.09431186363844857	0.057125720354355536	0.4084152330370378	0.03822551341673278	0.0774021364830795	0.07947526734899596	0.16917506492593226	0.20885300326136147	0.15792899798072435	0.1542926448106078	0.4874	0.627	0.4316
FOXK1	EGR3	GLIS3	0.0	0.039076913009040745	0.023738463471534504	0.18789818780658762	0.15283931736960343	0.0485390531366622	0.04926716448115822	0.11049189032220941	0.12541788455062458	0.08489267472299433	0.09646071848707045	0.4638	0.535	0.5004
USF2	EGR1	NR5A1	0.04839244897841688	0.0193186772174224	0.5381022156993628	0.514759935843852	0.1846157336606514	0.03118247030078647	0.04798798609655127	0.08041092353071688	0.12183008970395941	0.08041092353071688	0.09450426254813547	0.6816	0.6654	0.5072
