	reg	node1	node2	std	corr	std_null	zscore	T	T_null	T_zscore	Tn	Tn_null	Tn_zscore	MI_XY	MIC
0	HOXB6	HOXA5	HOXA9	0.8129746792041268	-0.8101895873612949	0.22	7.597501626374623	1.2597855275694672	0.34	6.627942256509926	1.329143432697574	0.49	4.347729187409523	1.672149380476653	1.5046018506655696
1	HOXB6	HOXA3	HOXA9	0.8184638067462656	-0.8745069377105903	0.25	6.886849858798331	1.2988885041814622	0.4	6.0725839866512175	1.2513988315169131	0.58	2.914475521195539	1.7839834664231455	1.5721965930200104
2	PBX3	HOXA3	HOXA5	0.8098629817303604	-0.7239338721466712	0.23	7.575971351648947	1.398636856262538	0.36	8.217513188198902	1.2030015450716816	0.52	3.0454044735553394	1.9948770187157097	1.640089023341551
3	HOXB6	HOXA3	NR5A1	0.5517454939102492	-0.9770622648685536	0.2	4.971504234045372	0.8221504780185702	0.32	4.0901841980531985	0.7078431126625704	0.44	1.573046719838132	0.5968997666938538	1.2463608777033
4	HOXB6	HOXA3	HOXA5	0.7349507430384521	-0.8445395902227182	0.21	6.54886486944943	1.1783303156303209	0.34	6.021568758805064	1.2664837358227548	0.52	3.2394409524111643	1.9948770187157097	1.7124332351737945
5	PBX3	HOXA3	HOXA7	0.6997480738952663	-0.727431260526997	0.23	6.3346419303515695	1.372019272428923	0.37	7.638104260346399	1.4788977526291358	0.54	4.4675322154633585	1.7211910670755732	1.4495922547784983
6	HOXB6	HOXA9	MEIS1	0.6749270099509884	-0.7923100168789184	0.23	4.858372079353731	1.0670325223619466	0.36	4.702627106311168	0.9393603155794663	0.54	1.6965805164446908	1.2366871259179142	1.2888805728138766
7	HOXB8	HOXA3	HOXA9	0.6429992173979804	-0.7998050817221499	0.23	5.685635458103885	1.2220619355014268	0.36	7.105872000455636	1.4300930088427988	0.51	4.8165282884124725	1.7839834664231455	1.827560672686563
8	HOXA2	HOXB7	HOXB8	0.7643750563258082	0.9745354448174647	0.22	6.961276786464166	1.1079068157390575	0.34	6.3603890601255975	1.0362648533788859	0.51	2.615242505795469	1.1393830357360941	1.1766159644342236
9	HOXA7	HOXA13	HOXB8	0.7185390414376889	0.9532731299923953	0.18	8.496852512319672	1.2663612537597897	0.29	9.23088133659877	1.0066521953682033	0.41	3.495009406337371	0.8318783885796628	0.8774009088626911
10	HOXB6	HOXA3	IRX1	0.5833944043720564	-0.8214121435956719	0.21	4.894389990815876	0.9015262659890244	0.35	4.227903769013336	1.0004422822781613	0.5	2.2912644892771037	0.8384408307173619	1.2110000164938364
11	HOXA2	HOXB8	LMX1B	0.720775190371564	0.952504640966698	0.18	8.239736942444967	1.0650951105714568	0.29	6.8549387579066865	0.9916661760404022	0.43	3.074792515655435	0.7605965172068978	0.890817984604364
12	PBX3	HOXA5	HOXA7	0.676555719320827	-0.778017877739337	0.22	5.99573450076494	1.281155504605758	0.36	6.333695443730859	1.1953623144469612	0.53	3.0911213325057902	1.8609758068304747	1.4292519409520694
13	HOXB8	HOXA3	HOXA5	0.624261368340624	-0.7542568200165989	0.2	5.686091958391384	1.2414200273067253	0.32	7.447578893118307	1.392290899960586	0.45	4.886648807774925	1.9948770187157097	1.9350467068516344
14	HOXA9	HOXB7	HOXB8	0.8176417025912884	0.9535941576265179	0.21	8.070316505517232	1.0231954008264137	0.35	5.0064641438525355	1.3449097085340114	0.5	4.094443205276641	1.1393830357360941	1.1993843610160737
15	HOXB8	HOXA5	HOXA9	0.6262177009693107	-0.6658006275019593	0.22	5.172365544871625	1.2114395589103555	0.35	6.652146401101981	1.6723718476199405	0.52	5.349993878763814	1.672149380476653	1.728965806754704
16	HOXB6	HOXA7	HOXA9	0.6735687159137613	-0.6757308229828284	0.23	4.881787622809536	0.9713348592396627	0.37	3.8712904002394595	1.2038625967037762	0.53	2.9100770313116517	1.6973743091331053	1.4906874154980616
17	HOXB8	HOXA7	HOXA9	0.43503981124001023	-0.41690558207897727	0.23	2.260100684720147	0.8180945122886001	0.37	2.9912229854583035	1.2799820626813192	0.54	3.0431611201040174	1.6973743091331053	1.7219835628254354
18	HOXA7	POU4F1	SIX3	0.49287532148709684	-0.8707253924348928	0.2	4.581140119865829	0.7922255785855672	0.32	4.071616109879085	0.7937432086849459	0.47	1.6743736760138892	0.7855838295414768	1.0363625708470852
19	HOXB3	POU4F1	SIX3	0.7015804334642155	-0.869811876720257	0.19	7.234261541198703	1.049157630306305	0.31	6.3086956203721325	1.2846495526086663	0.47	4.260246370728677	0.7855838295414768	1.0776599545404273
20	AR	HOXA13	HOXB7	0.6118786914603445	-0.8863866522444398	0.19	6.188860407626376	1.0061970900897523	0.31	5.775259651088524	0.9591402976609267	0.46	2.6519158900109074	0.8488365862060006	1.1068978308770734
21	HOXB6	HOXA5	HOXA7	0.6913752105603964	-0.7596221391422989	0.23	5.205986077713349	1.200411245389385	0.37	5.1831665459878105	0.9700164668642701	0.54	1.6504491672482768	1.8609758068304747	1.5723617619250994
22	HOXA3	POU4F1	SIX3	0.5573818099081634	-0.9864255127843027	0.2	5.15065610224412	0.8311947762841427	0.33	4.139371677925335	0.6553767857454202	0.49	0.8553345870745978	0.7855838295414768	1.04931725942066
23	HOXB5	HOXB2	HOXB3	0.5990108986428865	-0.9662509613060521	0.24	4.462672258790598	1.0042355256162605	0.37	4.99796203805613	0.7450878956227012	0.54	1.001453552639978	1.5927859442950116	1.0729860005120009
24	HOXB6	HOXB2	HOXB3	0.6184079112933633	-0.9508520513637448	0.23	4.257026723460524	0.920365907617142	0.38	3.5780442459246737	0.7329891118515786	0.55	0.753211347611442	1.5927859442950116	0.986694497155503
25	MEIS1	SIX3	UNCX	0.7019605149222827	-0.8755063792176577	0.2	6.711301259672752	1.12799604813699	0.33	6.02790762732456	0.9175262478443464	0.48	2.2122915805713346	0.950343836421804	0.9152702313619012
26	MEOX2	IRX1	NR5A2	0.39092218151814156	0.8827779670584558	0.19	3.1122082416598196	0.7398824934790111	0.3	4.427542486586482	0.7330060294013538	0.44	1.6486193917183802	0.5617222875928034	1.2826972683634792
27	HOXB6	HOXA2	HOXA9	0.6683601472035835	-0.8855482000709843	0.22	6.16601010674196	1.066455149285622	0.35	5.899984357790232	0.9250505001228859	0.53	1.9387749460528907	1.3086736188557535	1.3748267390911022
28	PBX3	HOXA3	HOXA9	0.675539984784012	-0.8083709258795467	0.23	5.056915674169383	1.2475641756065163	0.37	5.935088885972644	1.1536932604942258	0.55	2.3208952351870757	1.7839834664231455	1.5277699526179167
29	HOXB3	HOXA7	HOXA9	0.6677603851294134	-0.6616226385896986	0.21	5.705104787945705	1.1612307634091408	0.34	6.344067761984445	1.0333123821393944	0.49	2.5197342133220495	1.6973743091331053	1.4064141791968923
30	HOXB6	HOXA3	HOXB2	0.49836223051828943	-0.9054885543464112	0.21	4.08256765319605	0.7364507326310171	0.33	3.456301118439818	0.5435502162152259	0.47	0.4026278071247273	1.0192403606860392	0.8849088528432723
31	HOXB6	HOXA3	HOXA7	0.6147696570264635	-0.7195137280447567	0.21	5.709123419175821	0.9736588348813622	0.33	5.345893001384878	1.1501164488005982	0.49	3.232243499870121	1.7211910670755732	1.4671885463651964
